CREF ;CDETALLE ;IDFAMILIA ;CFORMATO ;LKIT ;LPESO ;NBENEFPVP ;NCOSTEDIV ;NCOSTEPROM ;NPCONIVA ;NPVP ;NSTOCKMAX ;NSTOCKMIN 
73VF0001;VALVULA FINAL DE CARRERA 3/4;73;;0;0;35;0;31,03;49,4302;41,89;0;0
73VM0C35;VALVULA MONOBLOC FINAL DE CARRERA 350 VAMOFC35;73;;0;0;35;126,57;126,57;152,338;129,1;0;0
73VM0012;VALVULA FINAL DE CARRERA 1/2;73;;0;0;35;0;29,3;46,669;39,55;0;0
73VMOB28;VALVULA MONOBLOC PLACA BASE 280 VAMOPB28;73;;0;0;0;134,93;134,93;159,2174;134,93;0;0
73VMOB35;VALVULA MONOBLOC PLACA BASE 350 VAMOPB35;73;;0;0;2;87,62;105,65;162,2382;137,49;0;0
73VR00001;VALVULA REGULADORA ACELERADORA;73;;0;0;35;0;111,94;178,3216;151,12;0;0
74AB0178;ABRAZADERA NYLON NEGRA 178 X 4.8;74;;0;0;30;0,02;0;0,0354;0,03;0;0
76AB0816;ABRAZADERA SINFIN 8-16;76;;0;0;30;0,23;0;0,3422;0,29;0;0
77RA0068;RACOR UNION TC 6 X 8;77;;0;0;30;0,81;0;1,239;1,05;0;0
77RATHLA;"RACOR ""T"" HEMBRA LATERAL 3/4";77;;0;0;50;6,19;6,19;10,9622;9,29;0;0
77RR0001;RACOR CODO 45? ADMISION;77;;0;0;40;11,72;11,72;17,7354;15,03;0;0
78 T.CONEX.12;T. DE CONEXION NEUMATICA 12MM;;;0;0;30;2;0;3,068;2,6;0;0
78 T.CONEX.16MM;T. DE CONEXIËN NEUMATICA 16MM;78;;0;0;30;2;0;3,068;2,6;0;0
78MONOM.CHIV.;MONOMANDO NEUMATICO CON CHIVATO;78;;0;0;50;38,62;38,62;94,518;80,1;0;0
78PIST.AIRE;PISTOLA DE AIRE CON MONTAJE INCLUIDO;78;;0;0;0;18,03;18,03;70,8;60;0;0
78T.CONEX. 10MM;T DE CONEXION NEUMATICA 10MM;78;;0;0;30;2;0;0;0;0;0
78T.CONEX.6MM;T DE CONEXION NEUMATICA DE 6MM;78;;0;0;30;1;0;1,534;1,3;0;0
78T.CONEX.8MM;T DE CONEXION NEUMATICA DE 8 M.M.;78;;0;0;0;0;0;8,5078;7,21;0;0
79EX00AT;SPOILER PARA NISSAN ATLEON;79;;0;0;0;169,03;169,03;354;300;0;0
79EX00CB;SPOILER PARA NISSAN CABSTAR;79;;0;0;30;107,28;107,28;318,6;270;0;0
79EX00EX;spoiler para mercedes sprinter;;;0;0;30;300;0;460,2;390;0;0
79EX00IV;SPOILER PARA IVECO DAILY CON HUECOS;79;;0;0;0;114,94;114,94;283,672;240,4;0;0
79EX00MERC.SPR;SPOILER PARA MERCEDES SPRINTER;79;;0;0;0;177,3;177,3;354;300;0;0
79EX002NI;SPOILER PARA NISSAN MODELO 110;79;;0;0;0;162,27;162,27;319,1428;270,46;0;0
80.EVAP.VIESA;EVAPORADOR PARA VIESA MASTER O INTELLIGEN CON ARO;80;;0;0;0;0;0;64,9;55;0;0
